E71 E20 T54 E46 S10 M82
C21 H21 E20 R82 C47 T15
M53 S93 E20 O28 F10 M63
R58 E66 T74 T02 R04 O85
N89 G99 H00 T15 H61 J33
S81 K02 N62 M33 G81 R86
M11 Q40 K63 A07 I12 B83
K60 R01 G45 T90 I81 J06
H65 R00 G41 T54 F17 M10
L44 K63 G45 I49 O33 R44
C65 T68 H65 H40 F10 I51
I81 T90 H62 A06 L11 S48
Q77 B83 O86 H21 J06 D04
K62 B83 C46 G41 J06 O92
H21 C44 E85 S94 D52 T17
H61 M77 F11 T15 R82 G41
S48 T15 C41 L92 N89 I69
T54 D15 M11 N89 A07 F04
E20 H00 V89 C78 C25 A86
I49 N36 T14 C14 B49 O99
C65 S19 M53 V89 I30 D04
T17 S13 K28 D04 N31 M42
H70 B83 M53 O99 I99 B49
O92 O86 S19 R51 D52 O28
F70 B01 K63 Q40 P57 R58
K62 F04 M42 N31 I69 H40
C78 T14 N08 H62 I49 G41
M67 H60 E20 M11 G99 S13
S43 M82 R46 D52 Q77 R17
S94 D89 S43 X12 C03 H72
E67 C12 E66 I85 I49 F11
R46 S48 N00 V03 L21 I88
